# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;w_current[0];w_current[1];w_current[2];w_current[3];w_target[0];w_target[1];w_target[2];w_target[3]
0.000000000000000000000000000000e+00;4.526383067220510897366025915289e-02;nan;9.919565669673711103861146742844e-05;nan;nan;8.000000000000000444089209850063e-01;1.120166893948165709460340622172e-01;nan;1.366579551240315582548434658605e-04;nan;1.000000000000000000000000000000e+00;6.777937800680770044301440025456e-09;5.000683289775620377071163602523e-01;4.999316710224379622928836397477e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.000000000000000000000000000000e+00;4.526395088179073489254022888417e-02;nan;9.918204628973936211322470768437e-05;nan;nan;7.998906736359008284864557936089e-01;1.120013026726205951355552770110e-01;nan;1.366766540271001817603846451021e-04;nan;1.000000000000000000000000000000e+00;6.777935113221270638731224617490e-09;5.001366579655995847630833850417e-01;4.998633420344004707480678462161e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.000000000000000000000000000000e+00;4.526407109134836931341183685618e-02;nan;9.916843589711536927945589869893e-05;nan;nan;7.997813472550409086281320014677e-01;1.119859159697335904137815987269e-01;nan;1.366953580471408098012675580435e-04;nan;1.000000000000000000000000000000e+00;6.777932425965560411953248425672e-09;5.002049869641136403686232370092e-01;4.997950130358864151425279942487e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
3.000000000000000000000000000000e+00;4.526419130087806774742631432673e-02;nan;9.915482551886143269739143368824e-05;nan;nan;7.996720208574185084771102083323e-01;1.119705292861551959582300241891e-01;nan;1.367140671862498285931558639206e-04;nan;1.000000000000000000000000000000e+00;6.777929738913251416260224080021e-09;5.002733159731052037244580787956e-01;4.997266840268948517866931524622e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
4.000000000000000000000000000000e+00;4.526431151037975386675071831633e-02;nan;9.914121515498209246362859570212e-05;nan;nan;7.995626944430320737211559389834e-01;1.119551426218852452354468596241e-01;nan;1.367327814465357132059364353438e-04;nan;1.000000000000000000000000000000e+00;6.777927052065072397771810797920e-09;5.003416449925752740313100730418e-01;4.996583550074247814798411582160e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.000000000000000000000000000000e+00;4.526443171985346930474847226833e-02;nan;9.912760480547133125611009019096e-05;nan;nan;7.994533680118800500480347182020e-01;1.119397559769233774229491018559e-01;nan;1.367515008300938740733176945952e-04;nan;1.000000000000000000000000000000e+00;6.777924365420316944244888293734e-09;5.004099740225248504899013823888e-01;4.995900259774752050212498488690e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
6.000000000000000000000000000000e+00;4.526455192929924875588909571889e-02;nan;9.911399447032931170516178998042e-05;nan;nan;7.993440415639607721232096082531e-01;1.119243693512692872094049789666e-01;nan;1.367702253390293439232888728085e-04;nan;1.000000000000000000000000000000e+00;6.777921678979124849202978029140e-09;5.004783030629549323009541694773e-01;4.995216969370451787213482930383e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
7.000000000000000000000000000000e+00;4.526467213871709915906649257522e-02;nan;9.910038414955557302486038873113e-05;nan;nan;7.992347150992726856344461339177e-01;1.119089827449228219391486049972e-01;nan;1.367889549754472096939478253930e-04;nan;1.000000000000000000000000000000e+00;6.777918992741539126037932761577e-09;5.005466321138665186651905969484e-01;4.994533678861335923571118655673e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
8.000000000000000000000000000000e+00;4.526479234810695806423552767228e-02;nan;9.908677384314894969787046452581e-05;nan;nan;7.991253886178140142249048949452e-01;1.118935961578836901786360158439e-01;nan;1.368076897414529377941527776841e-04;nan;1.000000000000000000000000000000e+00;6.777916306707516761357899733606e-09;5.006149611752606087833328274428e-01;4.993850388247395022389696350729e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
9.000000000000000000000000000000e+00;4.526491255746890179922914398958e-02;nan;9.907316355111104092239643348350e-05;nan;nan;7.990160621195835366492588036635e-01;1.118782095901514894720207848877e-01;nan;1.368264296391570090678097004755e-04;nan;1.000000000000000000000000000000e+00;6.777913620877393590491575474464e-09;5.006832902471382018561030236015e-01;4.993167097528619091661994389142e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
