# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;w_current[0];w_current[1];w_current[2];w_current[3];w_target[0];w_target[1];w_target[2];w_target[3]
0.000000000000000000000000000000e+00;4.591069625855052904750408515611e-02;3.936758684969744737092156583458e-02;9.919565669673711103861146742844e-05;1.600000000000000088817841970013e+00;1.398650836020234544676554833131e+00;8.000000000000000444089209850063e-01;1.120166893948165709460340622172e-01;1.954640949327044168598588314012e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.847474866630374727748467589272e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.000000000000000000000000000000e+00;4.656691881683146239101489527457e-02;3.954722387560048735277717923964e-02;8.948106544066556072153373335709e-05;1.596872574481077000640993901470e+00;1.395688522145505983118596304848e+00;8.000000000000000444089209850063e-01;1.119722175182460699449649155213e-01;1.971581452300854350040415496892e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.898528654156172544055503070837e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.000000000000000000000000000000e+00;4.723247344288847293647393144056e-02;3.972569668002368797887768891997e-02;7.957455539811883341375087219660e-05;1.593724210131542085022715582454e+00;1.392701889688284344614999099576e+00;8.000000000000000444089209850063e-01;1.119269655542351749044627240437e-01;1.988646901876118654878267122399e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.950019181379975906093920956508e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
3.000000000000000000000000000000e+00;4.790745484715221852445310446456e-02;3.990294948146058673366098901170e-02;6.947468623422999630789148595156e-05;1.590554855418618851459200413956e+00;1.389690830073046612369580543600e+00;8.000000000000000444089209850063e-01;1.118809247476406365517931362774e-01;2.005837033371205436332873617289e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.001940690532699624768972479494e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
4.000000000000000000000000000000e+00;4.859195707858887658403546083719e-02;4.007892595609881258855722307999e-02;5.918007159636033643820840488559e-05;1.587364461586011854521416353236e+00;1.386655238093815745159531616082e+00;8.000000000000000444089209850063e-01;1.118340863647698524285800658618e-01;2.023151548545704028064795565456e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.054287055606495190082996793457e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.000000000000000000000000000000e+00;4.928607345683609641806555146104e-02;4.025356926466651386053996475312e-02;4.868938154103007382497020349987e-05;1.584152982717447644134267648042e+00;1.383595012036040072800346933946e+00;8.000000000000000444089209850063e-01;1.117864416979968134047140893017e-01;2.040590115319528344284272236564e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.107051777390423482044096159527e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
6.000000000000000000000000000000e+00;4.998989650295131148549643285151e-02;4.042682208054719505962992798231e-02;3.800134497234419262735871658521e-05;1.580920375799760524415660256636e+00;1.380510053799216985126463441702e+00;8.000000000000000444089209850063e-01;1.117379820704866577596447996257e-01;2.058152367520535864359176869698e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.160227978820483769970689502671e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
7.000000000000000000000000000000e+00;5.070351786881199113166118763729e-02;4.059862661916096432390688164560e-02;2.711475208861025996617821753887e-05;1.577666600785446959775981667917e+00;1.377400269020124579100183836999e+00;8.000000000000000444089209850063e-01;1.116886988410255854287100873989e-01;2.075837904661879777801214430610e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.213808400663455685803554517932e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
8.000000000000000000000000000000e+00;5.142702826521486358934964755463e-02;4.076892466860740360523607250798e-02;1.602845683371345282888786876185e-05;1.574391620654617574004419111589e+00;1.374265567196533144311842988827e+00;8.000000000000000444089209850063e-01;1.116385834089528017454284736232e-01;2.093646291750303391893117677114e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.267785397553867877875471981142e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
9.000000000000000000000000000000e+00;5.216051738871847059941799784610e-02;4.093765762156484355749341830233e-02;4.741379349667293810477453064323e-06;1.571095401476271025131836722721e+00;1.371105861811317883081073887297e+00;8.000000000000000444089209850063e-01;1.115876272191955315138400806063e-01;2.111577059126588072623942338168e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.322150934403753318657423476701e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
