# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound
0.000000000000000000000000000000e+00;4.572530171076518573647362586598e-02;2.588213559944145536473314450632e-02;9.270270499739493749258992670094e-19;1.523263300713237455852322455030e+00;8.956914662883523892134007837740e-01;2.775557561562891351059079170227e-16;1.136648048711513408548992714384e-17;2.107774680695901313443041402707e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.727685504942036422864649891640e-05
1.000000000000000000000000000000e+00;4.618319290162897772233918658458e-02;2.595005665490330432065846366640e-02;9.351980282702815864951089118009e-19;1.539428412548900837464316282421e+00;8.986726494195758085936631687218e-01;2.775557561562891351059079170227e-16;1.138120587437602024957066104085e-17;2.084177862492883528261478076615e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.704226680529279389910909947581e-05
2.000000000000000000000000000000e+00;4.662815186246740961628631794156e-02;2.601614048416288002552043678861e-02;9.432858115669403982242782319667e-19;1.591842400435105941980395982682e+00;8.993787496886216370484135040897e-01;2.775557561562891351059079170227e-16;1.139557159169509823697838680316e-17;2.019099258318701826248053876611e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.626458497794421906627003460155e-05
3.000000000000000000000000000000e+00;4.709545873340269250828526992336e-02;2.607914230490620405289448058284e-02;9.511283893572369892977406449377e-19;1.516010604611159884314020018792e+00;9.042073540812172183223083266057e-01;2.775557561562891351059079170227e-16;1.140930519006650916761124161776e-17;2.113880928579192110261519843561e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.756410077602201050229677181669e-05
4.000000000000000000000000000000e+00;4.757462090169398832850689018414e-02;2.614403701655693482153175466465e-02;9.593471518910792672972798310265e-19;1.533335936836922819281880947528e+00;8.768096535522895695891065770411e-01;2.775557561562891351059079170227e-16;1.142349242479545468178440536096e-17;2.160665329787836777541976118755e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.824425718118219629697643324739e-05
5.000000000000000000000000000000e+00;4.805192222918006073051344628766e-02;2.620924532790847027996505858027e-02;9.677557002806158726416270769924e-19;1.516580095185462218054794902855e+00;8.949467904802311801759628906439e-01;2.775557561562891351059079170227e-16;1.143779294136168058162068246574e-17;2.145603357082796758259490843557e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.811732238108351057226212688089e-05
6.000000000000000000000000000000e+00;4.852924146597934612623603811699e-02;2.627287869684731200226046610169e-02;9.761128688032116112109780379181e-19;1.529447024369821939160374313360e+00;8.922507096103512447271555174666e-01;2.775557561562891351059079170227e-16;1.145179421996424535997076413936e-17;2.139162665630016391116186014187e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.810098061346098566293770504299e-05
7.000000000000000000000000000000e+00;4.901577783109543895445625594220e-02;2.633521474962056962976220120254e-02;9.844517759801236678925484945959e-19;1.512191586389578734639371759840e+00;8.901347044381628936804418117390e-01;2.775557561562891351059079170227e-16;1.146555717819893094498470535158e-17;2.173861163014093132034298960775e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.862455028191804044172645571376e-05
8.000000000000000000000000000000e+00;4.952269523595469180587969049157e-02;2.639743661344767788889953408216e-02;9.929327079211517906883448111286e-19;1.508142562017544152652703814965e+00;8.613237942736264862730877212016e-01;2.775557561562891351059079170227e-16;1.147934447495408618976454727358e-17;2.257929641146211741792315663702e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.980177728989089394866923710126e-05
9.000000000000000000000000000000e+00;5.002366950454524563429714589802e-02;2.646087077747711485686821220042e-02;1.001748625986538914871098894196e-18;1.521386486506003388186059055442e+00;8.686475691129522669342577501084e-01;2.775557561562891351059079170227e-16;1.149345472607990066218745874490e-17;2.224735882007142923066922435282e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.943422434390379862950877509764e-05
